DATE,MARY_M,JESSICA_M,OLIVIA_M,JOHN_M,MICHAEL_M,ETHAN_M,LESLIE_M,TAYLOR_M,QUINN_M,CHRISTINE_M,CHRIS_M,CHRISTOPHER_M,CHRISTIAN_M,CHRISTA_M,CHRISTY_M,CHRISTIE_M,CHRISTINA_M,KRISTY_M,KRISTINE_M,KRISTOPHER_M,CHRISTIANA_M,KRISTINA_M,KRIS_M,MARY_F,JESSICA_F,OLIVIA_F,JOHN_F,MICHAEL_F,ETHAN_F,LESLIE_F,TAYLOR_F,QUINN_F,CHRISTINE_F,CHRIS_F,CHRISTOPHER_F,CHRISTIAN_F,CHRISTA_F,CHRISTY_F,CHRISTIE_F,CHRISTINA_F,KRISTY_F,KRISTINE_F,KRISTOPHER_F,CHRISTIANA_F,KRISTINA_F,KRIS_F
1992,0,0,0,138,498,31,6,151,15,0,5,365,37,0,0,0,0,0,0,24,0,0,0,42,465,70,0,0,0,11,156,5,81,0,0,0,0,9,9,109,24,19,0,0,64,0
1993,0,0,0,134,424,34,6,145,22,0,0,322,49,0,0,0,0,0,0,33,0,0,0,47,442,76,0,0,0,6,228,10,71,0,0,0,7,10,0,80,15,13,0,0,37,0
1994,0,0,0,138,385,37,8,129,33,0,11,307,73,0,0,0,0,0,0,27,0,0,0,30,437,82,0,0,0,7,189,5,45,0,0,0,0,9,15,78,21,7,0,5,31,0
1995,0,0,0,116,342,61,7,121,36,0,6,272,74,0,0,0,0,0,0,16,0,0,0,35,388,98,0,0,0,0,213,8,43,0,0,0,0,14,7,78,9,12,0,0,38,0
1996,0,0,0,121,294,52,0,104,32,0,0,248,66,0,0,0,0,0,0,14,0,0,0,30,310,99,0,0,0,9,195,6,36,0,0,0,0,14,6,69,7,9,0,0,36,0
1997,0,0,0,109,299,107,0,77,48,0,5,235,90,0,0,0,0,0,0,15,0,0,0,35,286,105,0,0,0,0,247,7,19,0,0,0,5,6,5,66,9,10,0,5,26,0
1998,0,0,0,106,258,149,0,82,35,0,7,204,67,0,0,0,0,0,0,15,0,0,0,32,249,119,0,0,0,6,226,5,39,0,0,0,0,13,5,68,13,8,0,0,17,0
1999,0,0,0,87,231,167,0,67,46,0,5,168,56,0,0,0,0,0,0,13,0,0,0,35,219,135,0,0,0,5,217,8,38,0,0,0,0,9,10,51,0,7,0,0,14,0
2000,0,0,0,93,218,239,0,54,34,0,5,115,53,0,0,0,0,0,0,0,0,0,0,28,231,145,0,0,0,0,147,9,28,0,0,0,0,5,0,47,0,0,0,0,17,0
2001,0,0,0,105,210,292,0,41,44,0,0,146,62,0,0,0,0,0,0,6,0,0,0,27,187,181,0,0,0,0,139,9,21,0,0,0,0,6,5,42,6,6,0,0,12,0
2002,0,0,0,75,167,420,0,29,33,0,6,109,58,0,0,0,0,0,0,5,0,0,0,27,183,163,0,0,0,0,126,8,25,0,0,0,6,0,0,40,6,9,0,0,18,0
2003,0,0,0,65,164,336,0,32,44,0,0,99,53,0,0,0,0,0,0,7,0,0,0,30,148,213,0,0,0,0,131,8,10,0,0,0,0,0,0,33,6,7,0,0,8,0
2004,0,0,0,78,136,337,0,25,41,0,0,84,45,0,0,0,0,0,0,0,0,0,0,31,164,185,0,0,0,0,96,7,16,0,0,0,0,0,0,31,5,0,0,0,10,0
2005,0,0,0,73,122,302,0,14,33,0,0,80,41,0,0,0,0,0,0,0,0,0,0,23,115,204,0,0,0,0,90,11,16,0,0,0,0,0,0,21,0,0,0,0,9,0
2006,0,0,0,73,118,281,0,30,49,0,5,68,40,0,0,0,0,0,0,0,0,0,0,21,78,200,0,0,0,0,97,15,18,0,0,0,0,0,0,26,0,0,0,0,10,0
