DATE,FRANCIS_M,FRANCIS_F,KELLY_M,KELLY_F,LESLIE_M,LESLIE_F,TAYLOR_M,TAYLOR_F,RILEY_M,RILEY_F,CHRIS_M,CHRISTINE_F,CHRISTOPHER_M,CHRISTIAN_M,CHRISTA_F,CHRISTY_F,CHRISTIE_F,CHRISTINA_F,KRISTY_F,KRISTINE_F,KRISTOPHER_M,CHRISTIANA_F,KRISTINA_F,KRIS_M
1945,0.11507479861910241,0.0,0.0,0.0,0.2119798921930834,0.14535764036097146,0.0,0.0,0.0,0.0,0.0,0.1090182302707286,0.13930107201259767,0.0,0.0,0.0,0.0,0.06056568348373812,0.0,0.0,0.0,0.0,0.0,0.0
1946,0.10195238823469441,0.03058571647040832,0.0,0.0,0.1835142988224499,0.16312382117551102,0.0,0.0,0.0,0.0,0.0,0.127440485293368,0.1478309629403069,0.0,0.0,0.0,0.0,0.05607381352908192,0.0,0.0,0.0,0.0,0.0,0.0
1947,0.14894250819183796,0.021277501170262565,0.02978850163836759,0.0,0.22554151240478318,0.21703051193667816,0.0,0.0,0.0,0.0,0.0,0.17022000936210052,0.24256351334099321,0.0,0.0,0.0,0.0,0.06383250351078769,0.0,0.0,0.0,0.0,0.0,0.0
1948,0.15979960266044743,0.0,0.025913449080072558,0.021594540900060466,0.16843741902047163,0.22890213354064093,0.0,0.0,0.0,0.0,0.0,0.1813941435605079,0.22026431718061676,0.0,0.0,0.0,0.0,0.047507989980133024,0.0,0.0,0.0,0.0,0.0,0.0
1949,0.1480932987782303,0.0,0.0,0.0,0.25504957011806323,0.24270846188654405,0.0,0.0,0.0,0.0,0.02056851371919865,0.29207289481262083,0.27561808383726194,0.0,0.0,0.0,0.0,0.09050146036447407,0.0,0.0,0.0,0.0,0.0,0.0
1950,0.14089760059674278,0.0,0.0,0.0,0.3066594836517343,0.2403547304297377,0.0,0.0,0.0,0.0,0.02072023538187394,0.28179520119348556,0.3066594836517343,0.0,0.0,0.0,0.0,0.07044880029837139,0.0,0.0,0.0,0.0,0.0,0.0
1951,0.104,0.0,0.068,0.027999999999999997,0.23600000000000002,0.192,0.0,0.0,0.0,0.0,0.0,0.376,0.38,0.0,0.0,0.0,0.0,0.076,0.0,0.024,0.0,0.0,0.0,0.0
1952,0.10221465076660989,0.0,0.034071550255536626,0.022714366837024418,0.26500094643195155,0.26121521862578084,0.0,0.0,0.0,0.0,0.0,0.34828695816770777,0.36721559719856145,0.0,0.0,0.0,0.0,0.10221465076660989,0.0,0.022714366837024418,0.0,0.0,0.0,0.0
1953,0.10254596888260256,0.01768033946251768,0.08132956152758133,0.038896746817538894,0.20509193776520512,0.32885431400282883,0.0,0.0,0.0,0.0,0.021216407355021217,0.30410183875530405,0.4455445544554455,0.01768033946251768,0.0,0.0,0.0,0.0884016973125884,0.0,0.042432814710042434,0.0,0.0,0.0,0.0
1954,0.11639849366655255,0.020540910647038686,0.08216364258815474,0.06846970215679561,0.21567956179390618,0.24649092776446424,0.0,0.0,0.0,0.0,0.017117425539198903,0.36973639164669636,0.39370078740157477,0.03081136597055803,0.0,0.0,0.0,0.08558712769599452,0.0,0.027387880862718247,0.0,0.0,0.0,0.0
1955,0.10881751632262746,0.01648750247312537,0.089032513354877,0.06924751038712655,0.18795752819362924,0.32315504847325727,0.0,0.0,0.0,0.0,0.01648750247312537,0.356130053419508,0.4055925608388841,0.019785002967750445,0.0,0.0,0.0,0.09562751434412715,0.0,0.0,0.0,0.0,0.0,0.0
1956,0.07128688321348872,0.0,0.14877262583684603,0.09918175055789735,0.2386560872799405,0.30684354078849496,0.0,0.0,0.0,0.0,0.021696007934540046,0.3223406893131664,0.5021076121993553,0.03719315645921151,0.0,0.0,0.0,0.05888916439375155,0.0,0.015497148524671461,0.0,0.0,0.0,0.0
1957,0.07264485383855408,0.0,0.15400709013773464,0.18015923751961413,0.1743476492125298,0.31673156273609576,0.0,0.0,0.0,0.0,0.03486952984250596,0.32835473935026444,0.44168071133840875,0.014528970767710815,0.0,0.0,0.0,0.07555064799209624,0.0,0.031963735688963796,0.0,0.0,0.023246353228337305,0.0
1958,0.05389000765805372,0.0,0.18719686870692345,0.4084295317241966,0.20705108205462744,0.3034858326006183,0.0,0.0,0.0,0.0,0.025526845732762288,0.3800663697989052,0.40559321553166744,0.036872110502878856,0.0,0.0,0.014181580962645716,0.09927106673852,0.0,0.022690529540233147,0.0,0.0,0.014181580962645716,0.0
1959,0.050657135620409195,0.0,0.2138856837306166,0.4559142205836828,0.16885711873469733,0.2786142459122506,0.0,0.0,0.0,0.0,0.04221427968367433,0.3405285227816396,0.5234570680775618,0.03658570905918442,0.014071426561224778,0.0,0.0,0.08724284467959362,0.014071426561224778,0.03658570905918442,0.0,0.0,0.0,0.0
1960,0.05026107837935945,0.0,0.22617485270711754,0.4691033982073549,0.1703292100633848,0.31273559880490326,0.0,0.0,0.0,0.0,0.05026107837935945,0.48585709100047464,0.5947560941557535,0.03629966771842627,0.0,0.0,0.016753692793119817,0.1312372602127719,0.0,0.022338257057493087,0.0,0.0,0.0,0.0
1961,0.07283109013575716,0.0,0.23888597564528347,0.43407329720911264,0.15440191108780515,0.2680184116995863,0.0,0.0,0.0,0.0,0.046611897686884576,0.4224203227873915,0.5709957466643361,0.05535162850317544,0.0,0.0,0.0,0.09322379537376915,0.0,0.04369865408145429,0.0,0.0,0.0,0.0
1962,0.05291627469426152,0.0,0.2146048918156162,0.5232831608654751,0.10583254938852305,0.27634054562558796,0.0,0.0,0.0,0.0,0.02645813734713076,0.4321495766698024,0.587958607714017,0.038217309501411105,0.0,0.0,0.0,0.11759172154280338,0.0,0.023518344308560677,0.0,0.0,0.014698965192850423,0.0
1963,0.033066794925750015,0.0,0.1984007695545001,0.45391691216256835,0.1412853965009319,0.1984007695545001,0.0,0.0,0.0,0.0,0.033066794925750015,0.526062646546023,0.637287320387182,0.060121445319545476,0.0,0.0,0.0,0.13527325196897733,0.0,0.05711537305356821,0.0,0.0,0.03607286719172729,0.0
1964,0.0473634354278497,0.0,0.2115566782443953,0.34101673508051783,0.1894537417113988,0.2305020524155352,0.0,0.0,0.0,0.0,0.03473318598042311,0.49573729081149354,0.6915061572466057,0.025260498894853177,0.0,0.0,0.015787811809283233,0.16419324281654563,0.0,0.05683612251341964,0.0,0.0,0.01894537417113988,0.015787811809283233
1965,0.04425531914893617,0.0,0.21106382978723404,0.38127659574468087,0.13957446808510637,0.21446808510638296,0.0,0.0,0.0,0.0,0.030638297872340424,0.5412765957446808,0.7319148936170212,0.03404255319148936,0.0,0.0,0.0,0.19744680851063828,0.0,0.054468085106382985,0.0,0.0,0.037446808510638294,0.020425531914893616
1966,0.07095721280068118,0.0,0.28028099056269073,0.39026467040374657,0.17739303200170298,0.17739303200170298,0.0,0.0,0.0,0.0,0.031930745760306536,0.5037962108848364,0.8621301355282764,0.02128716384020436,0.028382885120272476,0.0,0.0,0.2022280564819414,0.0,0.07095721280068118,0.0,0.0,0.03902646704037466,0.0
